Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Acht Jahre nach seiner Machtergreifung in einem unblutigen Militärputsch regiert der ehemalige General nun erstmals als ziviler Staatschef.	Eight years after seizing power in a bloodless military coup, the former general now for the first time reigns as a civilian head of state.	Eight years after his seizure of power in a bloodless military coup, the former General now governs for the first time as a civilian head of state.
Mit seinem Rücktritt als Oberbefehleshaber der Streitkräfte hatte Musharraf eine Kernforderung der Opposition und des Westens erfüllt.	By stepping down as commander-in-chief of the armed forces, Musharraf had complied with one of the key demands of the opposition and of the West.	In his resignation as the army's chief commander, Musharraf had met a core demand from the opposition and the West.
Eine weitere zentrale Forderung ist ein Ende des Ausnahmezustands, den Musharraf am 3. November verhängt hatte.	Ending the state of emergency, which Musharraf had declared on November 3, is another central demand.	Another central demand is an end to the state of emergency imposed by Musharraf on 3 November.
Schon bald nach seiner Vereidigung wird Musharraf laut Generalstaatsanwalt Malik Muhammad Qayyum den Ausnahmezustand aufheben und damit eine weitere Forderung des Westens erfüllen.	According to Attorney General Malik Muhammad Qayyum, Musharraf will revoke the state of emergency soon after being sworn in, and by doing so meet another of the demands of the West.	Soon after his sworn, General Musharraf, according to Public Prosecutor Malik Muhammad Qayyum, will lift the state of emergency and thus satisfy another Western demand.
Der Oberste Gerichtshof des Landes, den Musharraf nach der Verhängung des Ausnahmezustands Anfang November mit ihm gewogenen Juristen besetzt hatte, hatte in der vergangenen Woche alle Einsprüche gegen die umstrittene Wiederwahl des Staatschefs am 6. Oktober abgewiesen.	Last week, the country’s supreme court had overruled all objections to the head of state’s controversial re-election on October 6. After declaring a state of emergency, Musharraf had filled it with jurisprudents who were well-disposed towards him.	Last week, the Supreme Court of the country occupied by Musharraf's legal advisors following the declaration of a state of emergency at the beginning of November had rejected all objections to the controversial re-election of the Head of State on 6 October.
Unterdessen wurden in der nördlichen Stammesregion Nord-Waziristan bei einem Anschlag auf einen Militärkonvoi fünf Soldaten getötet und vier weitere verletzt.	In the northern Tribal Area of North Waziristan, four soldiers were killed and four more harmed in an attack on a military convoy, meanwhile.	Meanwhile, five soldiers have been killed and four others injured in an attack on a military convoy in the northern tribal region of North Waziristan.
Nach Angaben eines Armeesprechers explodierte die Bombe auf einer Straße nahe der Grenze zu Afghanistan.	According to an army spokesman, the bomb exploded on a road near the Afghanistan border.	According to an army spokesman, the bomb exploded on a road near the border with Afghanistan.
Die Väter des Krautrock kehren zurück	The Fathers of Krautrock Are Back	The fathers of the heat-trock are returning.
Deutschlands Supergruppe der Siebziger musiziert wieder: Die drei Bandmitglieder von Harmonia nahmen sich ihre Konsolen bei einem Konzert in Berlin erneut vor.	Germany’s super group of the seventies is reunited: At a concert in Berlin, the three band members of Harmonia once again grabbed their mixing consoles.	Germany's 1970s super-group is again muzzling: the three Bandys of Harmonia were again faced with their bankruptcies at a concert in Berlin.
Zum Revival erscheint ein Mitschnitt aus ihrer großen Zeit "Live 1974".	To celebrate the reunion, "Live 1974,"a recording from their heyday, is released.	As far as the Revival is concerned, a halfway through its great time, Live 1974.
Schon damals waren sie im Ausland wesentlich berühmter.	Even back then, they were much more famous abroad than in Germany.	Even then, they were much more famous abroad.
Die anberaumte Sensation ereignet sich dann in Gestalt dreier gesetzter Herren an der Abendtafel.	The arranged sensation, then, occurs in the shape of three composed gentlemen at the dinner table.	The sensationation that is to be held will take place in the form of three legislative gentlemen at the evening board.
Jeder hat sein Kästchen vor sich, seine Kabel und vor allem seine Knöpfe.	Each of them has his little box in front of them, his wires and, most significantly, his keys.	Everyone has his cage, his cables and, above all, his buttons in front of him.
Dieter Moebius thront im blütenweißen Hemd mit 63 Jahren in der Mitte.	Dieter Moebius, 63, wearing a pristine white shirt, is throning at the centre.	Dieter Moebius thront in the white shirt in the breadth of the city, at 63 years.
Links flankiert von Michael Rother, 57 Jahre jung und im Besitz von Laptop und Gitarre.	At his left flank is Michael Rother, a paltry 57, wielding a laptop computer and a guitar.	Links are accompanied by Michael Rother, 57 years of age, and with Laptop and Gitarre.
Rechts, vom Auditorium aus betrachtet, krümmt sich Hans-Joachim Roedelius, 73, konzentriert an der Konsole.	And at the right, from the auditorium’s point of view, Hans-Joachim Roedelius, 73, is bent over a mixing console in concentration.	Right, from the auditorium, Hans-Joachim Roedelius, 73, is concentrated in the console.
Jeder trägt Geräusche bei, mitunter sogar einen Beat.	Each of them is contributing noises, sometimes even a beat.	Everyone is noise, and sometimes even a commandment.
Und manchmal fügt es sich versehentlich zu einem herkömmlichen Stück Musik.	And once in a while, it inadvertently fuses into a conventional piece of music.	And sometimes it accidentally adds up to a traditional piece of music.
Das scheint dann auch die Herren selbst nicht groß zu stören.	The gentlemen themselves do not seem overly bothered when it does, either.	This does not seem to disturb the gentlemen themselves much.
Dass die Band Harmonia wieder musiziert, hat unter Krautrock-Liebhabern für einige Aufregung gesorgt.	The band Harmonia’s reunion has caused some excitement among Krautrock aficionados.	The fact that the band Harmonia is musizing again has caused a certain amount of excitement among Krautrock songs.
Wobei man hier enthüllen darf: Gezielte Nachfragen ergaben, dass der Name zwar durchs kollektive Popgedächtnis schwirrte, aber keineswegs so nachhaltig, um diese Band seit 32 Jahren schmerzlich zu vermissen.	Although, it may be disclosed here: Specific inquiries uncovered that while the name was buzzing through collective pop memory, it was not so forcefully as to have this band being sorely missed for 32 years.	What we can reveal here is that targeted enquiries showed that the name was muddling through collective pop scorning, but not so sustainable, in order to make this band painfully missing for 32 years.
Aber warum soll nicht auch der Deutsche seine lebenden Legenden aus den Siebzigerjahren feiern dürfen?	But why should Germans not be allowed to celebrate their living legends from the seventies, too?	Why, though, should Germans not be allowed to celebrate their living legend from the seventies?
Zumal das, was irreführend Krautrock heißt, in England und Amerika stets mehr galt als im eigenen Land.	Especially given that what is misleadingly called Krautrock had always been held in more esteem in England or America than at home.	This is all the more true in England and America, which is misleading Krautrock, as it is in their own country.
Als die Musikwirtschaft den Überlebenden der Kölner Gruppe Can 2003 den Echo-Preis fürs Lebenswerk verlieh, sah man im Saal in fragende deutsche Popgesichter.	When the music industry gave an Echo Honorary Award to the survivors of Cologne group Can in 2003, quite a few quizzical German pop faces were to be seen in the room.	When the music industry passed the Echo-Price for Life's work to the survivors of the Cologne Group in 2003, people in the Chamber saw in the German pop valley in question.
Als die Red Hot Chili Peppers sich in der Laudatio auch noch bei den Bands La Düsseldorf und Neu! bedankten, kannte die Verwunderung keine Grenzen.	When the Red Hot Chili Peppers proceeded to thank the bands La Düsseldorf and Neu! in their panegyric, the bewilderment knew no bounds.	When the Red Hot Chili Peppers also thanked the Bands La Düsseldorf and Neu in Laudatio, the surprise was beyond bounds.
